Make,Model,events,total_fatal,total_casualties,total_uninjured,most_common_injury,denom,fatality_rate,survival_rate
AERONCA,11AC,23,4.0,14.0,21.0,Non-Fatal,35.0,0.11428571428571428,0.8857142857142857
AERONCA,7AC,61,12.0,35.0,56.0,Non-Fatal,91.0,0.13186813186813187,0.8681318681318682
AIR TRACTOR INC,AT-301,27,2.0,8.0,19.0,Non-Fatal,27.0,0.07407407407407407,0.9259259259259259
AIR TRACTOR INC,AT-502B,25,2.0,8.0,18.0,Non-Fatal,26.0,0.07692307692307693,0.9230769230769231
AIR TRACTOR INC,AT-602,24,5.0,12.0,13.0,Non-Fatal,25.0,0.2,0.8
AIRBUS,A320,73,170.0,189.0,2634.0,Non-Fatal,2823.0,0.06021962451292951,0.9397803754870705
AIRBUS,A330,29,331.0,364.0,2508.0,Non-Fatal,2872.0,0.11525069637883008,0.8847493036211699
AVIAT AIRCRAFT INC,A-1B,21,0.0,9.0,21.0,Non-Fatal,30.0,0.0,1.0
Aero Commander,100,28,1.0,22.0,30.0,Non-Fatal,52.0,0.019230769230769232,0.9807692307692307
Aero Commander,S2R,58,4.0,14.0,44.0,Non-Fatal,58.0,0.06896551724137931,0.9310344827586207
Aeronca,11AC,56,13.0,40.0,56.0,Non-Fatal,96.0,0.13541666666666666,0.8645833333333334
Aeronca,15AC,26,1.0,11.0,33.0,Non-Fatal,44.0,0.022727272727272728,0.9772727272727273
Aeronca,7AC,205,35.0,168.0,172.0,Non-Fatal,340.0,0.10294117647058823,0.8970588235294118
Aeronca,7BCM,21,2.0,10.0,21.0,Non-Fatal,31.0,0.06451612903225806,0.935483870967742
Aerospatiale,SA315B,20,4.0,25.0,4.0,Non-Fatal,29.0,0.13793103448275862,0.8620689655172413
Air Tractor,AT-301,148,14.0,58.0,91.0,Non-Fatal,149.0,0.09395973154362416,0.9060402684563759
Air Tractor,AT-400,20,4.0,10.0,11.0,Non-Fatal,21.0,0.19047619047619047,0.8095238095238095
