Make,Model,events,total_fatal,total_casualties,total_uninjured,most_common_injury,denom,fatality_rate,survival_rate
PIPER,PA25,30,20.0,23.0,5.0,Fatal,28.0,0.7142857142857143,0.2857142857142857
Mitsubishi,MU-2B-60,23,38.0,47.0,14.0,Non-Fatal,61.0,0.6229508196721312,0.3770491803278688
BEECH,C90,22,33.0,38.0,20.0,Fatal,58.0,0.5689655172413793,0.43103448275862066
CESSNA,421C,22,30.0,39.0,22.0,Fatal,61.0,0.4918032786885246,0.5081967213114754
BEECH,V35,24,28.0,38.0,20.0,Fatal,58.0,0.4827586206896552,0.5172413793103448
SOCATA,TBM 700,20,26.0,36.0,18.0,Non-Fatal,54.0,0.48148148148148145,0.5185185185185186
ROBINSON,R44,131,138.0,216.0,71.0,Fatal,287.0,0.4808362369337979,0.519163763066202
ROBINSON,R66,22,17.0,26.0,10.0,Fatal,36.0,0.4722222222222222,0.5277777777777778
BEECH,58,53,61.0,78.0,58.0,Non-Fatal,136.0,0.4485294117647059,0.5514705882352942
CESSNA,T210,25,21.0,29.0,21.0,Non-Fatal,50.0,0.42,0.5800000000000001
ROBINSON,R22,58,37.0,55.0,34.0,Non-Fatal,89.0,0.4157303370786517,0.5842696629213483
Cessna,A150K,21,14.0,19.0,15.0,Non-Fatal,34.0,0.4117647058823529,0.5882352941176471
Beech,V35,43,35.0,54.0,32.0,Non-Fatal,86.0,0.4069767441860465,0.5930232558139534
CESSNA,U206F,21,29.0,41.0,31.0,Non-Fatal,72.0,0.4027777777777778,0.5972222222222222
Beech,A36TC,44,49.0,88.0,34.0,Non-Fatal,122.0,0.4016393442622951,0.5983606557377049
Beech,F35,22,14.0,19.0,16.0,Non-Fatal,35.0,0.4,0.6
PIPER,PA34,30,25.0,37.0,26.0,Non-Fatal,63.0,0.3968253968253968,0.6031746031746033
Grumman American,AA-5,26,22.0,30.0,26.0,Non-Fatal,56.0,0.39285714285714285,0.6071428571428572
MOONEY,M20E,25,16.0,25.0,19.0,Non-Fatal,44.0,0.36363636363636365,0.6363636363636364
Cessna,T303,20,17.0,24.0,23.0,Non-Fatal,47.0,0.3617021276595745,0.6382978723404256
