Make,Model,events,total_fatal,total_casualties,total_uninjured,most_common_injury,denom,fatality_rate,survival_rate
BOEING,777,81,0.0,41.0,8646.0,Non-Fatal,8687.0,0.0,1.0
Schweizer,SGS 2-33A,53,0.0,21.0,56.0,Non-Fatal,77.0,0.0,1.0
Grumman-schweizer,G-164A,48,0.0,15.0,35.0,Non-Fatal,50.0,0.0,1.0
BOEING,767,46,0.0,70.0,4225.0,Non-Fatal,4295.0,0.0,1.0
Boeing,737,45,0.0,12.0,3342.0,Non-Fatal,3354.0,0.0,1.0
Boeing,727-200,35,0.0,55.0,3627.0,Non-Fatal,3682.0,0.0,1.0
Beech,C-23,33,0.0,19.0,39.0,Non-Fatal,58.0,0.0,1.0
Boeing,E75,29,0.0,10.0,35.0,Non-Fatal,45.0,0.0,1.0
BOEING,757,27,0.0,2.0,1780.0,Non-Fatal,1782.0,0.0,1.0
Maule,M-4-220C,26,0.0,6.0,42.0,Non-Fatal,48.0,0.0,1.0
PIPER,PA-22-160,25,0.0,8.0,29.0,Non-Fatal,37.0,0.0,1.0
BOEING,787,24,0.0,6.0,1917.0,Non-Fatal,1923.0,0.0,1.0
CESSNA,195,24,0.0,5.0,41.0,Non-Fatal,46.0,0.0,1.0
GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,24,0.0,9.0,15.0,Non-Fatal,24.0,0.0,1.0
CESSNA,180H,23,0.0,4.0,41.0,Non-Fatal,45.0,0.0,1.0
PIPER,PA 28,23,0.0,12.0,33.0,Non-Fatal,45.0,0.0,1.0
CESSNA,180J,22,0.0,3.0,35.0,Non-Fatal,38.0,0.0,1.0
AVIAT AIRCRAFT INC,A-1B,21,0.0,9.0,21.0,Non-Fatal,30.0,0.0,1.0
Grumman,G164B,21,0.0,2.0,19.0,Non-Fatal,21.0,0.0,1.0
Let,BLANIK L-13,21,0.0,6.0,27.0,Non-Fatal,33.0,0.0,1.0
